"PERGUNTA";"IMAGEM PERGUNTA";"ALTERNATIVAS";"RESPOSTA CORRETA";"IMAGEM RESPOSTA";"CATEGORIA DA PERGUNTA";"SETOR";"RESPONSÁVEL";"DATA_HORA";"ID"
O que é feito quando é encontrado uma situação como esta?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 11 - Peça solta na bandeja de seleção.jpg;"Apenas descartar a peça na caixa de peças no chão;
Não precisa fazer nada, alguém irá perceber a peça ali;
Avisar o inspetor/operador responsável pela seleção e descartar a peça na caixa de peças no chão;
Colocar a peça de volta na ordem de produção";Avisar o inspetor/operador responsável pela seleção e descartar a peça na caixa de peças no chão;-;MISTURA DE PEÇA (LIRS);"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;11
Quando é encontrado uma peça no chão;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 12 - Peça solta no chão.jpg;"Se não é a máquina que estou atuando, não devo fazer nada;
Não precisa fazer nada;
Apenas avisar que viu a peça no chão;
Avisar que a peça estava no chão para o operador da TNL próxima e descartar a peça no pote de descarte de peças no chão";Avisar que a peça estava no chão para o operador da TNL próxima e descartar a peça no pote de descarte de peças no chão;-;MISTURA DE PEÇA (LIRS);"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;12
Qual o significado desta sigla (LIRS)?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 13 -Sigla LIRS.jpg;"Limpeza, Implementação, Reconciliação, Segregação;
Limpeza, Implementação, Repetição, Separação;
Limpeza de linha, Identificação, Reconciliação, Segregação;
Limpeza de linha, Identificação, Repetição, Separação;
Nenhuma das alternativas";Limpeza de linha, Identificação, Reconciliação, Segregação;-;MISTURA DE PEÇA (LIRS);"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;13
A imagem mostra um exemplo correto e incorreto de:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 14 - Exemplo de Reconciliação.jpg;"Limpeza de linha;
Segregação;
Reconciliação;
Nenhuma das alternativas
";Reconciliação;-;MISTURA DE PEÇA (LIRS);"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;14
Temos dois exemplos relacionados as peças físicas e a etiqueta do gabarito, podemos concluir que:;"\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\Qtde divergente NOK.jpg;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\Qtde divergente OK.jpg";"Isto é uma situação comum que não se deve fazer nada;
Quantidade divergente é um tema crítico que deve ser corrigido de imediato;
Isto é uma situação que não tem relação com mistura de peça;
Nenhuma das alternativas
";Quantidade divergente é um tema crítico que deve ser corrigido de imediato;-;MISTURA DE PEÇA (LIRS);"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;15
O que pode concluir sobre a situação abaixo?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 16 - Quantidade divergente.jpg;"Não é uma não conformidade, pois é apenas o cone vibrado;
Não é uma não conformidade, pois não apresenta rebarba;
É uma não conformidade que deve ser segregado, pois apresenta GAP na adaptação com o implante devido ao cone vibrado;
Situação que pode ser liberado sem problema algum;
Nenhuma das alternativas";É uma não conformidade que deve ser segregado, pois apresenta GAP na adaptação com o implante devido ao cone vibrado;-;INSPEÇÃO ATRIBUTIVA;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;16
O que se deve fazer quando identificado peças desta maneira?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 17 - Marcas de cavaco - 5010332163 - 135.116-1 - WYY061.jpg;"Peças desta maneira podem ser liberadas, pois não tem nenhum impacto;
Marcas na peça desta forma não é significativo e estão OK;
Quando encontrar peças desta maneira estão NOK e devem ser segregadas, conforme o fluxo;
Não precisa fazer nada, pois as inspeções de outros processos irão identificar;
Nenhuma das alternativas";Quando encontrar peças desta maneira estão NOK e devem ser segregadas, conforme o fluxo;-;MISTURA DE PEÇA (LIRS);"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;17
O calibrador não adaptou no lado P, pode-se concluir que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 19 - 316898 - TMA72 - Não adaptou lado P cal. 620.001.jpg;"As vezes acontece isso e é normal;
A peça está OK;
A maneira correta é forçar o calibrador até adaptar;
Se não adaptou do lado P, a peça está NOK";Se não adaptou do lado P, a peça está NOK;-;INSPEÇÃO ATRIBUTIVA;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;18
Descreva a situação abaixo;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 20 - 316913 - TMW50 - Sextavadao danificado.jpg;"A peça mesmo com esta marca está OK;
Está é uma não conformidade de sextavado danificado, que pode ter ocorrido na utilização incorreta do micrômetro;
Esta marca faz parte do desenho da peça e está OK;
Isto não é importante, e pode ser liberado sem problemas";Está é uma não conformidade de sextavado danificado, que pode ter ocorrido na utilização incorreta do micrômetro;-;INSPEÇÃO VISUAL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;19
Qual é descrição correta para esta Não conformidade?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 21 - 316913 - TMW50 - Resalto_auto_x2.jpg;"Bolagem 41 danificada ;Bolagem 31 danificada;Bolagem 41 com cavaco;Ausência de usinagem R0,10;Diâmetro menor na bolagem 41";Bolagem 41 danificada;-;INSPEÇÃO VISUAL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;20
No desenho do hexágono externo do implante a sua tolerância máxima é de 2,700mm, o que pode-se concluir com a situação abaixo?;"\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 23 - 316913 - TMW50 -Hexagono maior.jpg;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\Implante HE desenho tecnico.jpg";"O implante esta OK;Com a medida de 2,707mm está maior que o especificado, ocasionando a não adaptação do componente. Sendo uma peça NOK;Se não apresentou adaptação com o componente não apresenta problema;Pode-se dizer que o hexágono externo está menor;Mesmo estando fora da tolerância não interfere em nada, é uma peça OK";Com a medida de 2,707mm está maior que o especificado, ocasionando a não adaptação do componente. Sendo uma peça NOK;-;DESENHO TÉCNICO;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;21
O que pode-se concluir com esta situação:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 24 - Hexagono maior com desenho tecnico  318619 - TWT94-VLY58_.jpg;"A Bolagem 73 está fora do especificado;A Bolagem 71 está maior;A Bolagem 71 está menor;As Bolages 20,25,30 estão maiores;As Bolages 20,25,30 estão menores";As Bolages 20,25,30 estão maiores;-;DESENHO TÉCNICO;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;22
Com as duas imagens, conclui-se que:;"\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\hexágono pilar GM.jpg;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 25 - Hexagono maior  318619 - TWT94-VLY58_.jpg";"O hexágono está amassado, por isso está maior que o especificado;O hexágono está amassado, por isso está menor que o especificado;Apenas o hexágono está amassado e não irá interferir na medida;Uma não conformidade não está correlacionado com a outra;A peça está OK";O hexágono está amassado, por isso está maior que o especificado;-;DESENHO TÉCNICO;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;23
Analisando o desenho técnico e a medição realizada, podemos concluir que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 26 - Hexagono menor .jpg;"A bolagem 73 está fora do especificado;A bolagem 71 está maior;A bolagem 71 está menor;As bolagens 20,25,30 estão maiores;As bolagens 20,25,30 estão menores";As bolagens 20,25,30 estão menores;-;DESENHO TÉCNICO;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;24
Observando os resultados do relatório dimensional, podemos afirmar que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 27 -  Relatorio dimensional metrologia_x2 .jpg;"A peça está dentro das tolerâncias;As bolagens 34,38 e43 estão fora do especificado;As bolagens 34,38,43 e 46 estão fora do especificado;As bolagens 41,46 e REF_3,96 estão fora do especificado;As bolagens 41 e REF_3,96 estão fora do especificado";As bolagens 41 e REF_3,96 estão fora do especificado;-;DESENHO TÉCNICO;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;25
Observando as imagens abaixo, podemos afirmar que:;"\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\Munhao GM nao adaptando o click.jpg;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\relatorio dimensional munhao GM.jpg";"A contra peça (peça padrão) não adaptou devido as bolagens #41 e REF_3,96 estarem fora do espeficado;A contra peça (peça padrão) não adaptou devido as bolagens #41 e #43 estarem fora do espeficado;Não apresenta nenhuma relação entre a adaptação incorrreta na peça padrão com o relatorio dimensional;A peça e o relatório dimensional estão dentro do especificado";A contra peça (peça padrão) não adaptou devido as bolagens #41 e REF_3,96 estarem fora do espeficado;-;INSPEÇÃO ATRIBUTIVA;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;26
Qual é o nome da Peça do relatório dimensional:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\relatorio dimensional munhao GM.jpg;"Implante GM;Implante CM;MUNHAO UNIV. CLICK ANG. GM;Parafuso Cicatrizador GM;Parafuso Cicatrizador CM";MUNHAO UNIV. CLICK ANG. GM;-;INSPEÇÃO VISUAL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;27
A foto abaixo é de um calibrador do lado P, pode-se concluir:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 29  Lado P 317406 - XHH76-WYE55_.jpg;"A peça está NOK, devido a sua não adaptação no lado P;Nesse caso é recomendado empurrar a peça até entrar no calibrador;A peça está OK ;A peça está NOK, devido ao seu cone vibrado";A peça está NOK, devido a sua não adaptação no lado P;-;INSPEÇÃO ATRIBUTIVA;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;28
A foto abaixo é de um calibrador de rosca no lado P, conclui-se que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 30   Rosca implante Lado P 317406 - XHH76-WYE55_.jpg;"A peça está NOK devido a adaptação incorreta no lado P;A peça está NOK devido a adaptação incorreta no lado NP;A peça está OK;Precisa forçar para a peça adaptar no calibrador e então a peça estará OK";A peça está NOK devido a adaptação incorreta no lado P;-;INSPEÇÃO ATRIBUTIVA;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;29
Esta imagem mostra qual equipamento:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 30   Rosca implante Lado P 317406 - XHH76-WYE55_.jpg;"Calibrador de Rosca lado Passa;Calibrador de Hexágono lado Passa;Calibrador de Sextavado lado Passa;Calibrador de Rosca lado Não Passa";Calibrador de Rosca lado Passa;-;INSPEÇÃO ATRIBUTIVA;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;30
Podemos afirmar que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 31 comprimento maior - bolagem 45_x2_.jpg;"A peça está OK;A peça está com o comprimento maior, na bolagem 45;A peça está com o comprimento maior, na bolagem 95;A peça está com o comprimento menor, na bolagem 45;A peça está com o diâmetro menor, na bolagem 47";A peça está com o comprimento maior, na bolagem 45;-;DESENHO TÉCNICO;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;31
Nas 3 situações abaixo, pode-se afirmar que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 32 Utilização paquimetro 1,23_.jpg;"A utilização da figura 1 e 3 estão corretas e 2 incorreta;A utilização da figura 2 e 3 estão corretas e 1 incorreta;A utilização da figura 3 está correta apenas;Nenhuma maneira de utilização está correta;Todas as maneiras de utilizações estão corretas";A utilização da figura 3 está correta apenas;-;INSPEÇÃO VARIÁVEL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;32
Assinale a opção correta;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 33  Utilização paquimetro 1,2,3,4 haste_.jpg;"A utilização 1 e 3 estão corretas apenas;A utilização 2 e 4 estão corretas apenas;Nenhuma utilização está correta;Todas as utilizações estão corretas;A utilização 1,2 e 4 estão corretas apenas";A utilização 2 e 4 estão corretas apenas;-;INSPEÇÃO VARIÁVEL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;33
Assinale a opção correta:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 34  Utilização paquimetro limpeza_.jpg;"A limpeza do micrômetro não afeta no resultado medição;A limpeza do micrômetro precisa ser feita uma vez ao dia;A limpeza do micrômetro precisa ser feita uma vez por semana;A limpeza do micrômetro precisa ser feita toda a vez que será realizado a medição;Nenhuma das alternativas";A limpeza do micrômetro precisa ser feita toda a vez que será realizado a medição;-;INSPEÇÃO VARIÁVEL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;34
Assinale a alternativa correta:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 35  Utilização paquimetro diametro externo implante_.jpg;"Ambas as utilizações estão corretas;Ambas as utilizações estão erradas;A utilização da forma 2 está correta;A utilização da forma 1 está correta";A utilização da forma 2 está correta;-;INSPEÇÃO VARIÁVEL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;35
Pode-se afirmar que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 36  Utilização Keyence_.jpg;"Este é um resultado de medição da Keyence OK;Este é um resultado de medição da Keyence NOK ;Não é ideal este resultado e precisa mudar a posição da peça";Este é um resultado de medição da Keyence OK;-;INSPEÇÃO VARIÁVEL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;36
Com este resultado da medição na Keyence, pode-se afirmar que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 37  Utilização Keyence NOK_.jpg;"Este é um exemplo quando o relatório está OK;Este é um exemplo de quando a peça não está na posição certa e o relatório resultou NOK;Normalmente acontece este tipo de situação e pode seguir o processo normal;Nenuma das alternativas";Este é um exemplo de quando a peça não está na posição certa e o relatório resultou NOK;-;INSPEÇÃO VARIÁVEL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;37
Na imagem abaixo é possível observar o vidro do equipamento de medição da Keyence, pode-se afirmar que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 38  Utilização Keyence vidro_.jpg;"Isto é normal e está pronto para utilização;O vidro da Keyence só pode realizar a limpeza uma vez por mês;O vidro da Keyence só pode realizar a limpeza uma vez a cada 3 meses;Sempre que for realizar a medição deve estar limpo o vidro e caso não esteja, deve-se realizar a limpeza do vidro";Sempre que for realizar a medição deve estar limpo o vidro e caso não esteja, deve-se realizar a limpeza do vidro;-;INSPEÇÃO VARIÁVEL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;38
Com as duas fotos abaixo, conclui-se que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 40 - ROSCA NOK 116.267-1 - WFL02_Nicolas Gomes.jpg;"O calibrador não adaptou no lado P devido a rosca da peça está amassada;O calibrador não adaptou no lado P devido a peça estar fora do centro;A peça precisa forçar até adaptar, então a peça estará OK;A peça está OK em ambas as situações";O calibrador não adaptou no lado P devido a rosca da peça está amassada;-;INSPEÇÃO ATRIBUTIVA;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;39
Com a peça nesta condição, podemos afirmar que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 41 - Amassado XRR30 - 115.245-1 - Peça amassad_Lucas Macedo.jpg;"A peça pode ser liberada desta forma;A peça está NOK ;Se estou na dúvida se a peça está OK, apenas libero ";A peça está NOK;-;INSPEÇÃO VISUAL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;40
